Problem No,Actual Solution
1,233168
2,4613732
3,6857
4,906609
5,232792560
6,25164150
7,104743
8,40824
9,31875000
10,1.42914E+11
11,70600674
12,76576500
13,5537376230
14,837799
15,1.37847E+11
16,1366
17,21124
18,1074
19,171
20,648
21,31626
22,871198282
23,4179871
24,2783915460
25,4782
26,983
27,-59231
28,669171001
29,9183
30,443839
31,73682
32,45228
33,100
34,40730
35,55
36,872187
37,748317
38,932718654
39,840
40,210
41,7652413
42,162
43,16695334890
44,5482660
45,1533776805
46,5777
47,134043
48,9110846700
49,2.96963E+11
50,997651
51,121313
52,142857
53,4075
54,376
55,249
56,972
57,153
58,26241
59,107359
60,26033
61,28684
62,1.27036E+11
63,49
64,1322
65,272
66,661
67,7273
68,6.53103E+15
69,510510
70,8319823
71,428570
72,3.03964E+11
73,7295372
74,402
75,161667
76,190569291
77,71
78,55374
79,73162890
80,40886
81,427337
82,260324
83,425185
84,101524
85,2772
86,1818
87,1097343
88,7587457
89,743
90,1217
91,14234
92,8581146
93,1258
94,518408346
95,14316
96,24702
97,8739992577
98,18769
99,709
100,7.56872E+11
101,37076114526
102,228
103,2.03138E+13
104,329468
105,73702
106,21384
107,259679
108,180180
109,38182
110,9.35013E+15
111,6.12408E+11
112,1587000
113,5.11611E+13
114,16475640049
115,168
116,20492570929
117,1.00808E+14
118,44680
119,2.48156E+14
120,333082500
121,2269
122,1582
123,21035
124,21417
125,2906969179
126,18522
127,18407904
128,14516824220
129,1000023
130,149253
131,173
132,843296
133,453647705
134,1.86134E+16
135,4989
136,2544559
137,1.12015E+12
138,1.11805E+15
139,10057761
140,5.67384E+12
141,8.78454E+11
142,1006193
143,30758397
144,354
145,608720
146,676333270
147,846910284
148,2.12997E+15
149,52852124
150,-271248680
151,0.464399
152,301
153,1.79713E+16
154,479742450
155,3857447
156,2.12951E+13
157,53490
158,4.09511E+11
159,14489159
160,16576,,
161,2.05743E+16,,
162,3D58725572C62302,,
163,343047,,
164,3.78159E+14,,
165,2868868,,
166,7130034,,
167,3.91616E+12,,
168,59206,,
169,1.78654E+11,,
170,9857164023,,
171,142989277,,
172,2.27485E+17,,
173,1572729,,
174,209566,,
175,1,13717420,8
176,9.68182E+13
177,129325
178,1.26462E+11
179,986262
180,2.85196E+17
181,8.37358E+16
182,3.99788E+11
183,48861552
184,1.72532E+12
185,4.64026E+15
186,2325629
187,17427258
188,95962097
189,1.08349E+16
190,371048281
191,1918080160
192,5.70606E+16
193,6.84465E+14
194,61190912
195,75085391
196,3.22303E+17
197,1.710637717
198,52374425
199,0.00396087
200,2.29162E+11
201,115039000
202,1209002624
203,3.40292E+13
204,2944730
205,0.5731441
206,1389019170
207,44043947822
208,3.31951E+17,
209,1.59646E+13,
210,1.59817E+18,
211,1922364685,
212,3.28969E+11,
213,330.721154,
214,1.67737E+12,
215,8.06844E+14,
216,5437849,
217,6273134,
218,0,
219,64564225042,
220,139776,963904
221,1.88416E+15,
222,1590933,
223,61614848,
224,4137330
225,2009
226,0.11316017
227,3780.618622
228,86226
229,11325263
230,8.50481E+17
231,7.52697E+12
232,0.83648556
233,2.71204E+17
234,1.25919E+18
235,1.002322109
236,123/59
237,15836928
238,9.92255E+15
239,0.001887855
240,7.44872E+18
241,4.82316E+17
242,9.97104E+17
243,892371480
244,96356848
245,2.88085E+14
246,810834388
247,782252
248,23507044290
249,9.27526E+15
250,1.42548E+15
251,18946051
252,104924
253,11.492847
254,8.18452E+12
255,4.447401118
256,85765680
257,139012411
258,12747994
259,20101196798
260,167542057
261,2.38891E+14
262,2531.205
263,2039506520
264,2816417.106
265,2.0911E+11
266,1.09688E+15
267,0.999992836
268,7.85479E+14
269,1.31111E+15
270,82282080
271,4.61746E+18
272,8.49559E+18
273,2.03245E+18
274,1.60191E+12
275,15030564
276,5.77714E+18
277,1.12598E+15
278,1.22822E+18
279,416577688
280,430.088247
281,1.48578E+15
282,1098988351
283,2.8038E+16
284,5a411d7b
285,157055.81
286,52.6494572
287,313135496
288,6.05857E+17
289,6567944538
290,2.04447E+16
291,4037526
292,3600060866
293,2209
294,789184709
295,4884650818
296,1137208419
297,2.25264E+18
298,1.76882294
299,549936643
300,8.054077148
301,2178309
302,1170060
303,1.11198E+15
304,2.83988E+11
305,1.8175E+13
306,852938
307,0.731172025
308,1.53967E+15
309,210139
310,2.58653E+12
311,2466018557
312,324681947
313,2.05777E+15
314,132.5275643
315,13625242
316,5.42935E+17
317,1856532.846
318,709313889
319,268457129
320,2.78158E+17
321,2.47043E+15
322,9.99999E+17
323,6.355175845
324,96972774
325,54672965
326,1.96667E+18
327,3.43155E+13
328,2.60512E+11
329,199740353/29386561536000
330,15955822
331,4.67178E+17
332,2717.751525
333,3053105
334,1.5032E+17
335,5032316
336,CAGBIHEFJDK
337,85068035
338,15614292
339,19823.5422
340,291504964
341,5.60986E+16
342,5.94304E+12
343,2.69533E+17
344,65579304332
345,13938
346,3.36109E+17
347,1.11098E+13
348,1004195061
349,1.15385E+17
350,84664213
351,1.17622E+16
352,378563.2606
353,1.275986033
354,58065134
355,1726545007
356,28010159
357,1.73902E+12
358,3284144505
359,40632119
360,8.78826E+17
361,178476944
362,4.57896E+11
363,3.72E-05
364,44855254
365,1.62619E+17
366,88351299
367,48271207
368,253.6135092
369,8.62401E+11
370,4.17919E+13
371,40.66368097
372,3.0145E+17
373,7.27227E+14
374,334420941
375,7.43533E+18
376,9.7306E+14
377,732385277
378,1.47535E+17
379,1.32314E+14
380,INF
381,1.39603E+14
382,697003956
383,2.21736E+13
384,3.35471E+18,
385,3.77696E+18,
386,528755790,
387,6.96068E+14,
388,8.31907E+17,
389,2406376.362,
390,2.91913E+12,
391,61029882288,
392,3.148673444,
393,1.12398E+17,
394,3.237034219,
395,28.24537532,
396,173214653,
397,1.4163E+17,
398,2010.59096,
399,1.5084E+15,6.5e27330467 
400,4.38505E+17
401,281632621
402,356019862
403,18224771
404,1.19922E+15
405,237696125
406,36813.12757
407,3.97828E+13
408,299742733
409,253223948
410,8E+17
411,9936352
412,38788800
413,3.07942E+15
414,5.52507E+17
415,55859742
416,898082747,,
417,4.46573E+14,,
418,1.17716E+18,,
419,998567458,1046245404,43363922
420,145159332,,
421,2.30422E+18,,
422,92060460,,
423,653972374,,
424,1.05976E+12,,
425,46479497324,,
426,31591886008,,
427,97138867,,
428,7.47216E+11,,
429,98792821,,
430,5000624921,,
431,23.38602905,,
432,754862080
433,3.26624E+14
434,863253606
435,2.52541E+11
436,0.527666276
437,7.42047E+13
438,0
439,0
440,0
441,5000088.84
442,1.29555E+18
443,2.74423E+15
444,0
445,0
446,0
447,0
448,0
449,103.378701
450,0
451,1.53651E+14
452,345558983
453,0
454,5.435E+12
455,4.50187E+14
456,3.33333E+17
457,0
458,0
