Problem No;         Result;   Time Taken(In Milliseconds);         State;Actual Solution;Actual State
;;;;;
1;233168;1;          PASS;233168;TRUE
2;4613732;0;          PASS;4613732;TRUE
3;6857;1;          PASS;6857;TRUE
4;906609;54;          PASS;906609;TRUE
5;232792560;2750;          PASS;232792560;TRUE
6;25164150;0;          PASS;25164150;TRUE
7;104743;34;          PASS;104743;TRUE
8;40824;426;          PASS;40824;TRUE
9;31875000;2;          PASS;31875000;TRUE
10;142913828922;1934;          PASS;142913828922;TRUE
11;70600674;1;          PASS;70600674;TRUE
12;76576500;772;          PASS;76576500;TRUE
13;5537376230;5;          PASS;5537376230;TRUE
14;837799;29;          PASS;837799;TRUE
15;137846528820;0;          PASS;137846528820;TRUE
16;1366;3;          PASS;1366;TRUE
17;21124;61;          PASS;21124;TRUE
18;1074;0;          PASS;1074;TRUE
19;171;1;          PASS;171;TRUE
20;648;4;          PASS;648;TRUE
21;31626;50;          PASS;31626;TRUE
22;871198282;355;          PASS;871198282;TRUE
23;4179871;1187;          PASS;4179871;TRUE
24;2783915460;0;          PASS;2783915460;TRUE
25;4782;262;          PASS;4782;TRUE
26;983;29;          PASS;983;TRUE
27;-59231;538;          PASS;-59231;TRUE
28;669171001;0;          PASS;669171001;TRUE
29;9183;14;          PASS;9183;TRUE
30;443839;322;          PASS;443839;TRUE
31;73682;7;          PASS;73682;TRUE
32;45228;392;          PASS;45228;TRUE
33;100;0;          PASS;100;TRUE
34;40730;62;          PASS;40730;TRUE
35;55;871;          PASS;55;TRUE
36;872187;201;          PASS;872187;TRUE
37;748317;397;          PASS;748317;TRUE
38;932718654;0;          PASS;932718654;TRUE
39;840;162;          PASS;840;TRUE
40;210;0;          PASS;210;TRUE
41;7652413;2395;          PASS;7652413;TRUE
42;162;21;          PASS;162;TRUE
43;16695334890;24;          PASS;16695334890;TRUE
44;5482660;46;          PASS;5482660;TRUE
45;1533776805;2;          PASS;1533776805;TRUE
46;5777;9;          PASS;5777;TRUE
47;134043;111;          PASS;134043;TRUE
48;9110846700;30;          PASS;9110846700;TRUE
49;296962999629;8;          PASS;296962999629;TRUE
50;997651;4953;          PASS;997651;TRUE
51;;;;121313;FALSE
52;;;;142857;FALSE
53;;;;4075;FALSE
54;;;;376;FALSE
55;;;;249;FALSE
56;;;;972;FALSE
57;;;;153;FALSE
58;;;;26241;FALSE
59;;;;107359;FALSE
60;;;;26033;FALSE
61;;;;28684;FALSE
62;;;;127035954683;FALSE
63;;;;49;FALSE
64;;;;1322;FALSE
65;;;;272;FALSE
66;;;;661;FALSE
67;;;;7273;FALSE
68;;;;6531031914842730;FALSE
69;;;;510510;FALSE
70;;;;8319823;FALSE
71;;;;428570;FALSE
72;;;;303963552391;FALSE
73;;;;7295372;FALSE
74;;;;402;FALSE
75;;;;161667;FALSE
76;;;;190569291;FALSE
77;;;;71;FALSE
